v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,0.03785,4,none,0.03785,14.46
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,12.87
0.9067,42.40,4116,6356,2.00000,49,Center,2.00000,12.18
1.3146,6.34,3702,91950,3.78148,0,none,0.04271,29.02
1.3221,26.66,1639,214230,0.04271,0,none,0.04271,14.99
0.2368,9.97,3419,325359,2.42252,49,Center,2.00000,16.58
0.8000,20.00,1600,100000,0.03785,4,none,0.03785,14.46
0.9462,21.51,1135,232807,0.08468,4,none,0.03785,15.18
0.8482,22.40,3316,88057,0.03785,4,none,0.03785,13.57
0.6831,7.46,2713,93643,3.03607,44,Center,2.00000,18.89
1.0264,24.81,1634,121422,0.03785,4,none,0.03785,14.42
0.5247,11.45,1817,77859,2.11892,44,Center,2.00000,15.45
0.8000,20.00,1600,100000,0.03785,4,none,0.03785,14.46
1.0047,21.89,1877,126169,0.03785,4,none,0.03785,14.55
0.8121,7.50,916,153083,1.55731,4,none,0.03785,20.70
0.3828,12.21,870,102878,2.23830,44,Center,2.00000,15.89
0.8361,18.77,1602,64887,0.03785,4,none,0.03785,14.74
1.0555,13.13,600,5000,1.06634,4,none,0.03785,18.86
0.8000,20.00,1600,100000,0.03785,4,none,0.03785,14.46
0.8077,20.63,2210,47059,0.03785,4,none,0.03785,14.04
0.8224,22.02,3316,147658,0.03785,4,none,0.03785,13.57
0.4452,24.11,200,106948,6.78438,44,Center,2.00000,32.94
0.6952,20.88,1593,89503,0.03785,4,none,0.03785,14.15
1.0965,17.11,248,31935,6.57832,4,none,0.03785,39.53
0.8000,20.00,1600,100000,0.03785,4,none,0.03785,14.46
0.8644,21.34,1857,132128,0.03785,4,none,0.03785,14.26
0.8368,29.19,4290,33353,0.00909,8,none,0.00909,12.70
0.4401,25.32,2381,100396,2.00000,49,Center,2.00000,13.66
0.8436,22.44,1636,114054,0.03785,4,none,0.03785,14.24
1.0663,18.29,290,71111,6.06502,4,none,0.03785,37.60
0.8471,21.64,1877,93438,0.03785,4,none,0.03785,14.17
1.0430,25.74,4080,118145,0.03785,4,none,0.03785,13.44
0.8454,33.49,4874,5000,2.00000,49,Center,2.00000,12.35
0.8888,29.31,4781,10706,0.03785,4,none,0.03785,12.69
0.9399,33.53,3464,84393,0.03785,4,none,0.03785,12.71
0.7781,23.29,2690,9665,0.03785,4,none,0.03785,13.49
0.8456,21.67,4277,18877,0.03785,4,none,0.03785,13.53
0.8991,26.63,3168,5165,0.03785,4,none,0.03785,13.23
0.8341,27.31,4236,13222,0.03785,4,none,0.03785,12.85
1.1234,31.63,5000,5000,0.03785,4,none,0.03785,12.85
0.8831,25.24,2855,58462,0.03785,4,none,0.03785,13.42
0.6871,29.18,4513,5000,2.00000,49,Center,2.00000,12.57
0.7876,23.61,3515,6094,0.03785,4,none,0.03785,13.27
0.8355,25.12,1272,5000,0.03785,4,none,0.03785,14.42
0.8306,24.53,3936,48670,0.03785,4,none,0.03785,13.17
1.0001,28.78,4908,13965,0.03785,4,none,0.03785,12.90
0.9461,25.71,3923,88188,0.03785,4,none,0.03785,13.26
0.8577,26.98,5000,5000,0.03785,4,none,0.03785,12.82
