v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,0.09876,4,none,0.03785,15.23
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
0.9067,42.40,4116,6356,1.45361,4,none,0.03785,20.31
1.3146,6.34,3702,91950,3.97616,0,none,0.04271,29.75
1.3221,26.66,1639,214230,0.14017,0,none,0.04271,15.37
0.2368,9.97,3419,325359,2.52909,49,Center,2.00000,16.98
1.2389,39.59,3057,244889,0.04271,0,none,0.04271,13.56
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.0989,41.29,3797,253856,0.04271,0,none,0.04271,13.17
1.2442,9.23,3424,149629,2.10320,0,none,0.04271,22.73
1.2854,30.79,1826,337620,0.04271,0,none,0.04271,14.58
0.7584,14.63,3148,378243,0.12721,4,none,0.03785,15.34
1.5000,45.00,4004,409891,0.04271,0,none,0.04271,13.24
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.2175,40.89,2664,500000,0.04271,0,none,0.04271,13.32
1.2107,21.46,2907,397129,0.11107,0,none,0.04271,15.26
1.2617,44.25,3044,412785,0.04271,0,none,0.04271,13.17
1.4084,19.91,2943,408839,0.41892,0,none,0.04271,16.41
1.4537,45.00,2182,365168,0.04271,0,none,0.04271,13.91
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.1836,41.52,4037,493932,0.04271,0,none,0.04271,12.88
1.2177,41.46,2599,500000,0.04271,0,none,0.04271,13.33
1.2442,39.54,3390,380056,0.04271,0,none,0.04271,13.27
1.2878,29.24,3024,333726,0.04271,0,none,0.04271,14.28
1.0739,42.77,2656,171861,0.04271,0,none,0.04271,13.69
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.1364,41.84,4476,246432,0.04271,0,none,0.04271,13.13
1.2222,45.00,3117,469009,0.04271,0,none,0.04271,13.04
1.2627,36.08,1750,347416,0.04271,0,none,0.04271,14.29
1.2127,45.00,3084,306566,0.04271,0,none,0.04271,13.21
1.2827,39.10,3500,153308,0.04271,0,none,0.04271,13.90
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.1148,41.06,3718,269589,0.04271,0,none,0.04271,13.17
1.2637,44.51,2842,339658,0.04271,0,none,0.04271,13.32
1.2683,33.76,1732,334422,0.04271,0,none,0.04271,14.43
1.3097,45.00,3092,339058,0.04271,0,none,0.04271,13.27
1.3712,37.19,3266,400808,0.04271,0,none,0.04271,13.62
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.2629,41.28,3115,376718,0.04271,0,none,0.04271,13.29
1.2475,42.02,2704,300305,0.04271,0,none,0.04271,13.48
1.2607,34.81,1889,361868,0.04271,0,none,0.04271,14.20
1.2772,29.48,3051,367312,0.04271,0,none,0.04271,14.18
1.1690,39.21,2913,479577,0.04271,0,none,0.04271,13.23
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.2644,41.43,3653,393583,0.04271,0,none,0.04271,13.15
1.2050,39.58,2998,492134,0.04271,0,none,0.04271,13.23
1.2754,44.33,3543,359737,0.04271,0,none,0.04271,13.11
1.2464,35.12,3051,369161,0.04271,0,none,0.04271,13.62
