v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,0.09876,4,none,0.03785,15.23
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
0.9067,42.40,4116,6356,1.45361,4,none,0.03785,20.31
1.3146,6.34,3702,91950,3.97616,0,none,0.04271,29.75
1.3221,26.66,1639,214230,0.14017,0,none,0.04271,15.37
0.2368,9.97,3419,325359,0.56694,4,none,0.03785,16.98
1.2389,39.59,3057,244889,0.03785,4,none,0.03785,13.56
1.2573,41.51,3112,366101,0.04271,0,none,0.04271,13.29
1.0989,41.29,3797,253856,0.03785,4,none,0.03785,13.17
1.2442,9.23,3424,149629,2.09833,4,none,0.03785,22.73
1.2854,30.79,1826,337620,0.04271,0,none,0.04271,14.58
0.7584,14.63,3148,378243,0.12721,4,none,0.03785,15.34
1.5000,45.00,3931,331823,0.04271,0,none,0.04271,13.36
1.2466,39.53,3057,207934,0.03785,4,none,0.03785,13.68
1.2171,38.56,2589,390340,0.02628,3,none,0.02628,13.52
1.1984,20.83,2845,307403,0.16076,4,none,0.03785,15.46
1.2607,42.28,2997,407971,0.04271,0,none,0.04271,13.26
1.4084,19.73,2879,397522,0.43850,0,none,0.04271,16.48
1.4296,45.00,1605,334059,0.04271,0,none,0.04271,14.55
1.2067,37.59,2836,218474,0.03785,4,none,0.03785,13.73
1.2880,36.93,1865,472230,0.04271,0,none,0.04271,14.12
1.1817,40.83,2494,444453,0.02628,3,none,0.02628,13.39
1.1910,38.02,2757,379509,0.02628,3,none,0.02628,13.44
1.2441,27.87,2792,374055,0.03785,4,none,0.03785,14.33
1.0580,40.45,2122,275204,0.03785,4,none,0.03785,13.65
1.2326,39.37,2941,374982,0.02628,3,none,0.02628,13.39
1.2039,37.65,2028,356700,0.03785,4,none,0.03785,13.88
1.1721,45.00,2414,481996,0.02628,3,none,0.02628,13.31
1.1703,35.92,2387,363527,0.02628,3,none,0.02628,13.68
1.1432,43.62,2715,368982,0.03785,4,none,0.03785,13.22
1.2601,36.82,3675,218720,0.04271,0,none,0.04271,13.71
1.2335,40.08,2654,478784,0.02628,3,none,0.02628,13.39
1.1664,40.13,2583,361202,0.02628,3,none,0.02628,13.42
1.2200,39.68,2617,361983,0.02628,3,none,0.02628,13.49
1.2249,40.01,2500,377086,0.02628,3,none,0.02628,13.52
1.2893,45.00,2605,378280,0.04271,0,none,0.04271,13.40
1.3461,36.25,3007,393634,0.04271,0,none,0.04271,13.71
1.2145,38.91,2723,277782,0.03785,4,none,0.03785,13.58
1.2410,38.43,2926,414641,0.02628,3,none,0.02628,13.41
1.2163,35.97,2655,321765,0.02628,3,none,0.02628,13.68
1.2420,38.68,2819,401217,0.02628,3,none,0.02628,13.45
1.2402,25.18,2674,385661,0.03785,4,none,0.03785,14.70
1.1535,38.87,2536,468081,0.02628,3,none,0.02628,13.39
1.2199,38.36,3006,275220,0.03785,4,none,0.03785,13.54
1.2564,37.48,2610,409869,0.04271,0,none,0.04271,13.60
1.1759,40.13,2562,455458,0.02628,3,none,0.02628,13.37
1.1949,37.66,2692,395924,0.02628,3,none,0.02628,13.48
1.1908,32.79,2698,386575,0.02628,3,none,0.02628,13.76
