scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,399.2,0
1,-0.032,-0.128,1409.0,1
2,-0.016,-0.128,1409.2,1
3,0.000,-0.128,1409.2,1
4,0.016,-0.128,1409.2,1
5,0.032,-0.128,1409.2,1
6,0.048,-0.128,1350.3,0
7,0.080,-0.112,2134.7,1
8,0.064,-0.112,1350.9,0
9,0.048,-0.112,1350.4,0
10,0.032,-0.112,1350.5,0
11,0.016,-0.112,1350.4,0
12,0.000,-0.112,1350.5,0
13,-0.016,-0.112,1350.4,0
14,-0.032,-0.112,1409.4,1
15,-0.048,-0.112,1409.2,1
16,-0.064,-0.112,1409.2,1
17,-0.080,-0.112,1409.2,1
18,-0.096,-0.096,604.8,0
19,-0.080,-0.096,1408.7,1
20,-0.064,-0.096,1409.2,1
21,-0.048,-0.096,1409.2,1
22,-0.032,-0.096,1409.2,1
23,-0.016,-0.096,1409.2,1
24,0.000,-0.096,1409.2,1
25,0.016,-0.096,1409.2,1
26,0.032,-0.096,1409.2,1
27,0.048,-0.096,1409.2,1
28,0.064,-0.096,1409.2,1
29,0.080,-0.096,1409.2,1
30,0.096,-0.096,1409.2,1
31,0.112,-0.080,2222.9,1
32,0.096,-0.080,1409.1,1
33,0.080,-0.080,1409.1,1
34,0.064,-0.080,1409.2,1
35,0.048,-0.080,1409.2,1
36,0.032,-0.080,1409.2,1
37,0.016,-0.080,1409.2,1
38,0.000,-0.080,1409.2,1
39,-0.016,-0.080,1409.2,1
40,-0.032,-0.080,1409.2,1
41,-0.048,-0.080,1409.2,1
42,-0.064,-0.080,1409.2,1
43,-0.080,-0.080,1409.2,1
44,-0.096,-0.080,1409.2,1
45,-0.112,-0.080,1409.1,1
46,-0.112,-0.064,604.8,0
47,-0.096,-0.064,1408.7,1
48,-0.080,-0.064,1409.2,1
49,-0.064,-0.064,1409.2,1
50,-0.048,-0.064,1409.2,1
51,-0.032,-0.064,1409.2,1
52,-0.016,-0.064,1409.2,1
53,0.000,-0.064,1409.2,1
54,0.016,-0.064,1409.2,1
55,0.032,-0.064,1409.2,1
56,0.048,-0.064,1409.2,1
57,0.064,-0.064,1409.2,1
58,0.080,-0.064,1409.2,1
59,0.096,-0.064,1409.2,1
60,0.112,-0.064,1409.2,1
61,0.128,-0.048,2222.9,1
62,0.112,-0.048,1409.1,1
63,0.096,-0.048,1409.1,1
64,0.080,-0.048,1409.2,1
65,0.064,-0.048,1409.2,1
66,0.048,-0.048,1409.2,1
67,0.032,-0.048,1409.2,1
68,0.016,-0.048,1409.2,1
69,0.000,-0.048,1409.2,1
70,-0.016,-0.048,1409.2,1
71,-0.032,-0.048,1409.2,1
72,-0.048,-0.048,1409.2,1
73,-0.064,-0.048,1409.2,1
74,-0.080,-0.048,1409.2,1
75,-0.096,-0.048,1409.2,1
76,-0.112,-0.048,1409.2,1
77,-0.128,-0.048,1409.1,1
