time_ms,case1,case2,case3a,case3b
0.000,-195533.257,8282.254,-22.204,-61.648
0.100,-195533.410,8387.155,96.031,53.743
0.200,-195454.131,8570.381,292.608,247.440
0.300,-195295.469,8830.345,565.771,517.717
0.400,-195057.546,9164.526,912.600,861.681
0.500,-194740.575,9569.703,1329.153,1275.417
0.600,-194344.878,10042.204,1810.662,1754.183
0.700,-193870.893,10578.067,2351.665,2292.545
0.800,-193319.174,11173.143,2946.103,2884.471
0.900,-192690.399,11823.157,3587.381,3523.398
1.000,-191985.364,12523.761,4268.441,4202.300
1.100,-191204.983,13270.581,4981.837,4913.765
1.200,-190350.286,14059.275,5719.822,5650.082
1.300,-189422.408,14885.568,6474.433,6403.327
1.400,-188422.588,15745.290,7237.579,7165.444
1.500,-187352.158,16634.404,8001.122,7928.332
1.600,-186212.538,17549.025,8756.960,8683.919
1.700,-185005.224,18485.434,9497.100,9424.245
1.800,-183731.784,19440.091,10213.744,10141.531
1.900,-182393.846,20409.643,10899.350,10828.253
2.000,-180993.091,21390.928,11546.710,11477.205
2.100,-179531.243,22380.978,12149.012,12081.568
2.200,-178010.065,23377.017,12699.900,12634.962
2.300,-176431.346,24376.462,13193.528,13131.504
2.400,-174796.898,25376.915,13624.611,13565.852
2.500,-173108.545,26376.163,13988.472,13933.246
2.600,-171368.119,27372.169,14281.074,14229.549
2.700,-169577.453,28363.068,14499.054,14451.273
2.800,-167738.375,29347.158,14639.751,14595.601
2.900,-165852.703,30322.891,14701.220,14660.410
3.000,-163922.237,31288.870,14682.245,14644.277
3.100,-161948.759,32243.837,14582.347,14546.483
3.200,-159934.026,33186.668,14401.778,14367.017
3.300,-157879.768,34116.360,14141.517,14106.561
3.400,-155787.680,35032.032,13803.253,13766.481
3.500,-153659.427,35932.908,13389.364,13348.808
3.600,-151496.631,36818.317,12902.895,12856.216
3.700,-149300.879,37687.681,12347.518,12292.010
3.800,-147073.714,38540.512,11727.503,11660.099
3.900,-144816.636,39376.401,11047.669,10964.966
4.000,-142531.097,40195.017,10313.341,10211.631
4.100,-140218.506,40996.097,9530.300,9405.607
4.200,-137880.224,41779.444,8704.725,8552.851
4.300,-135517.561,42544.918,7843.137,7659.719
4.400,-133131.781,43292.434,6952.344,6732.902
4.500,-130724.097,44021.956,6039.372,5779.377
4.600,-128295.673,44733.494,5111.407,4806.343
4.700,-125847.623,45427.099,4175.731,3821.162
4.800,-123381.011,46102.858,3239.656,2831.294
4.900,-120896.852,46760.895,2310.462,1844.235
5.000,-118396.111,47401.364,1395.335,867.454
5.100,-115879.705,48024.446,501.301,-91.672
5.200,-113348.502,48630.348,-364.824,-1025.916
5.300,-110803.322,49219.301,-1196.501,-1928.267
5.400,-108244.938,49791.556,-1987.515,-2791.993
5.500,-105674.076,50347.383,-2732.028,-3610.699
5.600,-103091.417,50887.067,-3424.627,-4378.386
5.700,-100497.595,51410.911,-4060.363,-5089.502
5.800,-97893.202,51919.229,-4634.795,-5738.993
5.900,-95278.785,52412.348,-5144.017,-6322.345
6.000,-92654.849,52890.606,-5584.691,-6835.612
6.100,-90021.857,53354.350,-5954.068,-7275.456
6.200,-87380.232,53803.935,-6250.008,-7639.159
6.300,-84730.355,54239.723,-6470.991,-7924.644
6.400,-82072.572,54662.084,-6616.125,-8130.488
