v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,3.01523,49,Center,2.00000,15.23
1.2573,41.51,3112,364762,2.88604,49,Center,2.00000,13.29
0.9067,42.40,4116,1419,3.74680,49,Center,2.00000,26.20
1.3146,6.34,3702,87869,3.98461,49,Center,2.00000,29.77
1.3221,26.66,1639,211372,3.02470,49,Center,2.00000,15.37
0.2368,9.97,3419,323612,3.13237,49,Center,2.00000,16.99
1.2389,39.59,3057,244160,2.90433,49,Center,2.00000,13.57
1.2573,41.51,3112,364762,2.88604,49,Center,2.00000,13.29
1.0989,41.29,3797,251394,2.87826,49,Center,2.00000,13.17
1.2442,9.23,3424,146125,3.51573,49,Center,2.00000,22.74
1.2854,30.79,1826,335996,2.97202,49,Center,2.00000,14.58
0.7584,14.63,3148,377025,3.02241,49,Center,2.00000,15.34
1.3806,45.00,4914,335315,2.87176,49,Center,2.00000,13.08
1.1653,41.28,3794,216830,2.88982,49,Center,2.00000,13.35
1.2142,40.62,3605,401379,2.87433,49,Center,2.00000,13.11
1.1043,21.39,3676,317185,2.99465,49,Center,2.00000,14.92
1.2528,44.03,3633,407410,2.86764,49,Center,2.00000,13.01
1.4084,19.89,3750,397343,3.09038,49,Center,2.00000,16.36
1.4194,45.00,4436,412806,2.87107,49,Center,2.00000,13.07
1.2253,43.39,3579,352992,2.87214,49,Center,2.00000,13.08
1.3132,43.05,3524,492598,2.87208,49,Center,2.00000,13.08
1.1067,41.39,3826,465933,2.85666,49,Center,2.00000,12.85
1.2332,45.00,4718,450259,2.85028,49,Center,2.00000,12.75
1.2829,30.32,3655,393923,2.93234,49,Center,2.00000,13.99
1.3603,45.00,4496,500000,2.85910,49,Center,2.00000,12.89
1.2708,45.00,3675,500000,2.86077,49,Center,2.00000,12.91
1.3097,45.00,3799,500000,2.86217,49,Center,2.00000,12.93
1.1093,45.00,5000,500000,2.83667,49,Center,2.00000,12.55
1.2214,45.00,5000,475968,2.84584,49,Center,2.00000,12.69
1.2032,45.00,3729,423033,2.85920,49,Center,2.00000,12.89
1.0032,45.00,4585,500000,2.83393,49,Center,2.00000,12.51
1.1457,45.00,5000,500000,2.83896,49,Center,2.00000,12.58
1.2523,45.00,4786,500000,2.84798,49,Center,2.00000,12.72
1.1108,45.00,5000,500000,2.83676,49,Center,2.00000,12.55
1.0583,45.00,5000,500000,2.83380,49,Center,2.00000,12.51
1.0503,45.00,5000,464778,2.83570,49,Center,2.00000,12.54
0.8203,45.00,5000,500000,2.82870,49,Center,2.00000,12.43
0.9674,45.00,5000,500000,2.82989,49,Center,2.00000,12.45
0.9832,45.00,5000,500000,2.83045,49,Center,2.00000,12.46
1.0755,45.00,5000,500000,2.83472,49,Center,2.00000,12.52
0.9604,45.00,5000,500000,2.82966,49,Center,2.00000,12.44
0.9697,45.00,5000,500000,2.82997,49,Center,2.00000,12.45
0.7106,45.00,5000,500000,2.83469,49,Center,2.00000,12.52
0.7171,45.00,5000,500000,2.83419,49,Center,2.00000,12.51
0.7050,45.00,5000,500000,2.83515,49,Center,2.00000,12.53
1.0500,45.00,5000,500000,2.83338,49,Center,2.00000,12.50
0.8244,45.00,5000,500000,2.82857,49,Center,2.00000,12.43
0.7716,45.00,5000,500000,2.83073,49,Center,2.00000,12.46
