v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,3.01523,49,Center,2.00000,15.23
0.6054,21.93,4173,204629,2.92781,49,Center,2.00000,13.92
0.9145,6.10,3817,269095,3.61970,49,Center,2.00000,24.30
0.6287,36.54,1655,226776,2.93797,49,Center,2.00000,14.07
0.3743,21.12,1177,131194,3.03528,49,Center,2.00000,15.53
1.1755,16.22,2529,490370,3.11125,49,Center,2.00000,16.67
0.7562,22.62,3459,116972,2.95883,49,Center,2.00000,14.38
0.6054,21.93,4173,204629,2.92781,49,Center,2.00000,13.92
0.5510,17.39,4072,201132,2.96139,49,Center,2.00000,14.42
0.6224,20.13,2330,224248,2.95007,49,Center,2.00000,14.25
0.4629,21.13,3577,205207,2.94453,49,Center,2.00000,14.17
0.5329,23.93,2875,297467,2.91744,49,Center,2.00000,13.76
0.5194,25.88,3899,350920,2.90017,49,Center,2.00000,13.50
0.5211,22.11,2673,226011,2.93623,49,Center,2.00000,14.04
0.3229,24.22,3785,217160,2.99654,49,Center,2.00000,14.95
0.5377,27.12,3038,290096,2.90627,49,Center,2.00000,13.59
0.6138,22.09,4764,259069,2.91732,49,Center,2.00000,13.76
0.2000,28.56,3083,181725,3.17288,49,Center,2.00000,17.59
0.3774,27.83,4163,491289,2.92813,49,Center,2.00000,13.92
0.5018,26.22,3788,354352,2.90216,49,Center,2.00000,13.53
0.3979,20.68,3924,240398,2.95623,49,Center,2.00000,14.34
0.4734,31.06,4626,363806,2.89576,49,Center,2.00000,13.44
0.6795,24.75,5000,399561,2.89082,49,Center,2.00000,13.36
0.3837,23.86,3478,431700,2.93847,49,Center,2.00000,14.08
0.6035,24.66,4488,440108,2.88998,49,Center,2.00000,13.35
0.6763,27.78,4812,488636,2.87175,49,Center,2.00000,13.08
0.7776,22.00,5000,394793,2.91849,49,Center,2.00000,13.78
0.5421,29.20,5000,419170,2.87772,49,Center,2.00000,13.17
0.7189,26.34,5000,483856,2.87914,49,Center,2.00000,13.19
0.8811,22.03,4779,373219,2.93523,49,Center,2.00000,14.03
0.7553,26.91,4753,444069,2.88112,49,Center,2.00000,13.22
0.7811,28.71,5000,500000,2.86984,49,Center,2.00000,13.05
0.9102,29.63,5000,490402,2.87569,49,Center,2.00000,13.14
0.6323,27.56,5000,461891,2.87368,49,Center,2.00000,13.11
0.7169,28.67,5000,500000,2.86736,49,Center,2.00000,13.01
1.0370,28.27,4997,297623,2.91264,49,Center,2.00000,13.69
0.8059,29.10,4958,476728,2.87087,49,Center,2.00000,13.06
0.7607,29.24,5000,500000,2.86646,49,Center,2.00000,13.00
0.9810,33.13,5000,500000,2.86486,49,Center,2.00000,12.97
0.6941,28.08,5000,500000,2.86940,49,Center,2.00000,13.04
0.7158,30.08,5000,500000,2.86185,49,Center,2.00000,12.93
0.7553,32.04,5000,411070,2.86102,49,Center,2.00000,12.92
0.7903,32.82,5000,491528,2.85442,49,Center,2.00000,12.82
0.7457,29.79,5000,500000,2.86364,49,Center,2.00000,12.95
0.7690,34.82,5000,439149,2.85115,49,Center,2.00000,12.77
0.7465,31.87,5000,500000,2.85605,49,Center,2.00000,12.84
0.7269,33.06,5000,405506,2.85805,49,Center,2.00000,12.87
0.5863,34.31,5000,479138,2.85764,49,Center,2.00000,12.86
