v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,0.18040,4,none,0.03785,15.23
1.2573,41.51,3112,366101,3.00000,49,Center,2.00000,13.29
0.9067,42.40,4116,6356,1.53524,4,none,0.03785,20.31
1.3146,6.34,3702,91950,4.05293,4,none,0.03785,29.75
1.3221,26.66,1639,214230,0.21693,4,none,0.03785,15.37
0.2368,9.97,3419,325359,3.52909,49,Center,2.00000,16.98
0.8000,20.00,1600,100000,0.18040,4,none,0.03785,15.23
0.9462,21.51,1135,232807,0.23001,4,none,0.03785,15.41
0.8482,22.40,3316,88057,0.11948,4,none,0.03785,14.80
0.6831,7.46,2713,93643,1.35291,4,none,0.03785,19.63
1.0264,24.81,1634,121422,0.14075,4,none,0.03785,15.08
0.5247,11.45,1817,77859,0.47299,4,none,0.03785,16.33
0.8419,23.35,3880,92308,0.11948,4,none,0.03785,14.60
0.7027,10.43,2120,5000,2.04466,4,none,0.03785,22.22
0.8131,10.40,2836,137078,0.91193,4,none,0.03785,17.97
0.4152,13.00,2796,87437,2.97728,39,Center,2.00000,15.68
0.8389,21.23,3078,64412,0.17503,4,none,0.03785,15.21
1.1182,13.35,2621,5000,2.52920,4,none,0.03785,24.04
0.8693,25.04,4547,86348,0.11948,4,none,0.03785,14.49
0.7640,17.65,2386,81228,0.23995,4,none,0.03785,15.45
0.8594,23.71,3763,131154,0.11948,4,none,0.03785,14.35
0.6587,20.20,2848,91178,0.11948,4,none,0.03785,14.73
0.7593,22.56,3679,88256,0.11948,4,none,0.03785,14.58
0.8647,17.26,2816,116436,0.27034,4,none,0.03785,15.57
0.8426,24.17,3109,93017,0.11948,4,none,0.03785,14.59
1.0726,28.81,1108,292158,0.17144,4,none,0.03785,15.19
0.8672,30.33,3950,40940,0.27259,4,none,0.03785,15.57
0.8066,26.90,3520,90846,0.11948,4,none,0.03785,14.36
0.7835,23.23,3551,102542,0.11948,4,none,0.03785,14.45
0.7112,24.83,2994,167600,0.11948,4,none,0.03785,13.96
0.8329,22.79,3252,95769,0.11948,4,none,0.03785,14.67
1.0461,32.65,2539,287173,0.11948,4,none,0.03785,13.68
0.8531,16.57,3546,90206,0.33014,4,none,0.03785,15.79
0.9048,18.09,2983,87303,0.30438,4,none,0.03785,15.69
0.8858,21.95,3383,96032,0.11948,4,none,0.03785,14.87
0.7724,28.28,3460,173206,0.11948,4,none,0.03785,13.71
0.8404,22.29,3880,87677,0.11948,4,none,0.03785,14.75
0.7964,28.87,4463,39673,0.25114,4,none,0.03785,15.49
0.8353,20.20,2915,116023,0.11948,4,none,0.03785,14.91
0.7294,15.66,2784,86196,0.29554,4,none,0.03785,15.66
0.8783,22.36,3562,75214,0.11948,4,none,0.03785,14.98
0.8662,23.48,3358,123496,0.11948,4,none,0.03785,14.47
0.8544,22.68,4106,84106,0.11948,4,none,0.03785,14.76
0.8944,26.20,2914,5000,1.88926,4,none,0.03785,21.64
0.8404,23.46,3158,89122,0.11948,4,none,0.03785,14.68
0.5481,24.47,3219,91105,0.11948,4,none,0.03785,14.51
0.7553,22.69,3392,75944,0.11948,4,none,0.03785,14.73
0.7764,20.56,3207,101116,0.11948,4,none,0.03785,14.78
